slug,state,statsSource,annualGrowthHouse,medianHousePrice
chilcotts-grass-nsw-2480,NSW,rental-nsw,59.6,1265000
coleambally-nsw-2707,NSW,rental-nsw,59.5,462500
wombeyan-caves-nsw-2580,NSW,rental-nsw,59.1,740000
lockhart-nsw-2656,NSW,rental-nsw,59,397500
evandale-sa-5069,SA,rental-sa,59,479000
fishermans-bay-nsw-2316,NSW,rental-nsw,58.9,1510000
womboota-nsw-2731,NSW,rental-nsw,-58.8,388750
theresa-park-nsw-2570,NSW,rental-nsw,58.6,3750000
oxford-falls-nsw-2100,NSW,rental-nsw,-58.4,2725500
stanbridge-nsw-2705,NSW,rental-nsw,-58.3,250000
pyramul-nsw-2850,NSW,rental-nsw,-58.3,199000
woodhill-nsw-2535,NSW,rental-nsw,-58.1,1350000
lower-pappinbarra-nsw-2446,NSW,rental-nsw,57.5,897500
mckees-hill-nsw-2480,NSW,rental-nsw,57.5,1575000
mcdougalls-hill-nsw-2330,NSW,rental-nsw,-57.4,385000
tarana-nsw-2787,NSW,rental-nsw,57.1,890000
dalwood-nsw-2477,NSW,rental-nsw,-57.1,1180000
eungai-rail-nsw-2441,NSW,rental-nsw,-57.1,460000
mount-wilson-nsw-2786,NSW,rental-nsw,57,1550000
yarras-nsw-2446,NSW,rental-nsw,-57,1000000
borenore-nsw-2800,NSW,rental-nsw,-57,1109000
highgate-sa-5063,SA,sales-sa,56.9,2600000
eungella-nsw-2484,NSW,rental-nsw,56.6,1801000
clarence-nsw-2790,NSW,rental-nsw,56.5,1080000
wingen-nsw-2337,NSW,rental-nsw,-56.4,550000
leycester-nsw-2480,NSW,rental-nsw,-56.4,515000
redbournberry-nsw-2330,NSW,rental-nsw,56.3,1250000
ballimore-nsw-2830,NSW,rental-nsw,56.3,625000
manar-nsw-2622,NSW,rental-nsw,-55.5,1180000
howes-valley-nsw-2330,NSW,rental-nsw,-55.4,475000
ulamambri-nsw-2357,NSW,rental-nsw,-55.3,220000
tregeagle-nsw-2480,NSW,rental-nsw,55.2,1800000
mcleods-shoot-nsw-2479,NSW,rental-nsw,-55.1,3368750
kangaloon-nsw-2576,NSW,rental-nsw,-55,1980000
mount-osmond-sa-5064,SA,sales-sa,54.8,2100000
lower-mangrove-nsw-2250,NSW,rental-nsw,54.7,1470000
boomerang-beach-nsw-2428,NSW,rental-nsw,54.5,845000
graman-nsw-2360,NSW,rental-nsw,-54.4,200500
wombat-nsw-2587,NSW,rental-nsw,-54.4,670000
morton-nsw-2538,NSW,rental-nsw,54.2,1850000
bielsdown-hills-nsw-2453,NSW,rental-nsw,-54.1,1675000
nerriga-nsw-2622,NSW,rental-nsw,-53.9,645000
fullerton-nsw-2583,NSW,rental-nsw,53.8,507500
bobs-farm-nsw-2316,NSW,rental-nsw,-53.7,500000
wayville-sa-5034,SA,sales-sa,-53.7,1430000
fosterton-nsw-2420,NSW,rental-nsw,53.6,1475000
rugby-nsw-2583,NSW,rental-nsw,-53.4,340000
ruby-creek-nsw-4380,NSW,rental-nsw,53.3,705000
main-creek-nsw-2420,NSW,rental-nsw,-53.1,460000
cope-nsw-2852,NSW,rental-nsw,53.1,1175000
little-forest-nsw-2538,NSW,rental-nsw,-53,1245000
metz-nsw-2350,NSW,rental-nsw,-53,850000
bowman-nsw-2422,NSW,rental-nsw,-52.8,685000
hampden-hall-nsw-2440,NSW,rental-nsw,-52.8,557500
bellangry-nsw-2446,NSW,rental-nsw,52.7,840000
duckenfield-nsw-2321,NSW,rental-nsw,-52.7,833500
potato-point-nsw-2545,NSW,rental-nsw,-52.5,875000
east-wagga-wagga-nsw-2650,NSW,rental-nsw,52.1,593270
lenswood-sa-5240,SA,sales-sa,-52,536000
brucedale-nsw-2650,NSW,rental-nsw,51.9,1902000
roughit-nsw-2330,NSW,rental-nsw,-51.9,650000
eastern-creek-nsw-2766,NSW,rental-nsw,51.8,1275000
salisbury-nsw-2420,NSW,rental-nsw,-51.7,435000
stirling-sa-5152,SA,sales-sa,51.5,1592500
drake-village-nsw-2469,NSW,rental-nsw,51.3,287500
coalcliff-nsw-2508,NSW,rental-nsw,-51.3,1387500
limpinwood-nsw-2484,NSW,rental-nsw,-51.1,1375000
girilambone-nsw-2831,NSW,rental-nsw,50.8,135000
hurlstone-park-nsw-2193,NSW,rental-nsw,50.8,1825000
rydal-nsw-2790,NSW,rental-nsw,-50.7,764000
port-willunga-sa-5173,SA,sales-sa,50.6,1175000
clybucca-nsw-2440,NSW,rental-nsw,50.5,805000
bingie-nsw-2537,NSW,rental-nsw,-50.4,700000
bonshaw-nsw-2361,NSW,rental-nsw,50,270000
lankeys-creek-nsw-2644,NSW,rental-nsw,-50,500000
rowlands-creek-nsw-2484,NSW,rental-nsw,50,1575000
glendon-brook-nsw-2330,NSW,rental-nsw,50,1365000
cunjurong-point-nsw-2539,NSW,rental-nsw,-50,415000
mount-arthur-nsw-2820,NSW,rental-nsw,50,675000
hilldale-nsw-2420,NSW,rental-nsw,-49.6,610000
gelston-park-nsw-2650,NSW,rental-nsw,49.6,1250000
mogendoura-nsw-2537,NSW,rental-nsw,49.4,2200000
frog-rock-nsw-2850,NSW,rental-nsw,49.4,1165000
palmers-oaky-nsw-2795,NSW,rental-nsw,49.4,635000
torryburn-nsw-2421,NSW,rental-nsw,-49.2,1500000
frewville-sa-5063,SA,sales-sa,49.2,2480000
daysdale-nsw-2646,NSW,rental-nsw,-49.2,155000
kings-plains-nsw-2799,NSW,rental-nsw,-48.9,475000
currawang-nsw-2580,NSW,rental-nsw,-48.9,597500
duri-nsw-2344,NSW,rental-nsw,48.6,780000
hargraves-nsw-2850,NSW,rental-nsw,-48.3,310000
karangi-nsw-2450,NSW,rental-nsw,-48.3,990000
mandemar-nsw-2575,NSW,rental-nsw,48.2,4225000
angledale-nsw-2550,NSW,rental-nsw,48.2,1045000
nelsons-plains-nsw-2324,NSW,rental-nsw,-48.1,1350000
medindie-sa-5081,SA,sales-sa,-48,2005000
cheltenham-sa-5014,SA,sales-sa,48,1125000
cudgen-nsw-2487,NSW,rental-nsw,47.8,1101070
emu-swamp-nsw-2800,NSW,rental-nsw,-47.8,1435000
murringo-nsw-2586,NSW,rental-nsw,47.6,690000
hay-south-nsw-2711,NSW,rental-nsw,47.6,187500
camden-park-sa-5038,SA,sales-sa,47.6,1225000
stannifer-nsw-2369,NSW,rental-nsw,-47.5,210000
charbon-nsw-2848,NSW,rental-nsw,-47.5,73500
seal-rocks-nsw-2423,NSW,rental-nsw,-47.4,2000000
taylors-arm-nsw-2447,NSW,rental-nsw,47.1,890000
yarramalong-nsw-2259,NSW,rental-nsw,47,1470000
tennyson-nsw-2754,NSW,rental-nsw,-47,1390000
tingha-nsw-2369,NSW,rental-nsw,46.7,220000
clarendon-sa-5157,SA,sales-sa,-46.7,880000
mumbil-nsw-2820,NSW,rental-nsw,46.7,220000
quambone-nsw-2831,NSW,rental-nsw,46.5,157500
hamilton-east-nsw-2303,NSW,rental-nsw,46.4,1900000
glendon-nsw-2330,NSW,rental-nsw,-46.4,600000
burrell-creek-nsw-2429,NSW,rental-nsw,46.4,1025000
ettrick-nsw-2474,NSW,rental-nsw,-46.3,365000
greenwich-nsw-2065,NSW,rental-nsw,46.3,1375000
cassilis-nsw-2329,NSW,rental-nsw,-46.3,188000
howards-grass-nsw-2480,NSW,rental-nsw,46.2,862500
lucknow-nsw-2800,NSW,rental-nsw,46.1,657500
euroka-nsw-2440,NSW,rental-nsw,46,1420000
wyrallah-nsw-2480,NSW,rental-nsw,-45.9,730000
jerrawa-nsw-2582,NSW,rental-nsw,-45.9,638500
capertee-nsw-2846,NSW,rental-nsw,45.8,481000
glenthorne-nsw-2430,NSW,rental-nsw,-45.7,590000
balala-nsw-2358,NSW,rental-nsw,45.6,830000
kirkham-nsw-2570,NSW,rental-nsw,45.6,2927500
cooyal-nsw-2850,NSW,rental-nsw,-45.5,600000
dundurrabin-nsw-2453,NSW,rental-nsw,-45.5,212500
strathfield-south-nsw-2136,NSW,sales-abs,-45.5,2225000
gawler-south-sa-5118,SA,sales-sa,45.4,982500
wyneden-nsw-2474,NSW,rental-nsw,-45,715000
valla-nsw-2448,NSW,rental-nsw,45,1385000
rylstone-nsw-2849,NSW,rental-nsw,45,696000
vineyard-nsw-2765,NSW,rental-nsw,44.9,1097500
westbourne-park-sa-5041,SA,sales-sa,44.8,2490500
chatsworth-nsw-2469,NSW,rental-nsw,-44.5,595000
backmede-nsw-2470,NSW,rental-nsw,44.4,1300000
ilarwill-nsw-2463,NSW,rental-nsw,44.4,650000
buchanan-nsw-2323,NSW,rental-nsw,44.4,895000
deua-river-valley-nsw-2537,NSW,rental-nsw,44.3,1400000
montecollum-nsw-2482,NSW,rental-nsw,-44.3,1170000
bucca-nsw-2450,NSW,rental-nsw,44.2,1550000
brogo-nsw-2550,NSW,rental-nsw,44.2,750000
verges-creek-nsw-2440,NSW,rental-nsw,44.2,890000
woodstock-nsw-2538,NSW,rental-nsw,44,1527500
werri-beach-nsw-2534,NSW,rental-nsw,43.9,2950000
bendemeer-nsw-2355,NSW,rental-nsw,43.8,467500
drake-nsw-2469,NSW,rental-nsw,-43.8,295000
linden-nsw-2778,NSW,rental-nsw,43.6,1120000
maryvale-nsw-2820,NSW,rental-nsw,-43.5,437500
nerong-nsw-2423,NSW,rental-nsw,43.5,330000
west-coraki-nsw-2471,NSW,rental-nsw,43.3,852500
glandore-sa-5037,SA,sales-sa,43.1,1417000
stony-chute-nsw-2480,NSW,rental-nsw,-43,566666
billys-creek-nsw-2453,NSW,rental-nsw,-43,325000
telegraph-point-nsw-2441,NSW,rental-nsw,43,865000
bellata-nsw-2397,NSW,rental-nsw,42.9,350000
kingsford-nsw-2032,NSW,sales-abs,42.9,2567500
sunshine-nsw-2264,NSW,rental-nsw,42.9,1350000
pomona-nsw-2648,NSW,rental-nsw,-42.8,337500
mossy-point-nsw-2537,NSW,rental-nsw,42.8,1285000
quorrobolong-nsw-2325,NSW,rental-nsw,42.7,1670000
colo-heights-nsw-2756,NSW,rental-nsw,42.7,1820000
north-wagga-wagga-nsw-2650,NSW,rental-nsw,42.6,435000
murrumburrah-nsw-2587,NSW,rental-nsw,-42.5,250000
grong-grong-nsw-2652,NSW,rental-nsw,42.3,245000
the-lagoon-nsw-2795,NSW,rental-nsw,42.3,1530000
dyers-crossing-nsw-2429,NSW,rental-nsw,42.2,1166250
gundary-nsw-2580,NSW,rental-nsw,-42.1,767000
stroud-road-nsw-2415,NSW,rental-nsw,42,850000
coolamon-nsw-2701,NSW,rental-nsw,42,646250
fingal-bay-nsw-2315,NSW,rental-nsw,41.9,1220000
mitcham-sa-5062,SA,sales-sa,-41.8,1570000
thora-nsw-2454,NSW,rental-nsw,-41.8,960000
hastings-point-nsw-2489,NSW,rental-nsw,-41.7,927500
dungay-nsw-2484,NSW,rental-nsw,41.7,1700000
albert-park-sa-5014,SA,sales-sa,41.7,1240000
