slug,state,region,statsSource,medianHousePrice,statsUpdatedAt
forest-hill-nsw-2651,NSW,Wagga Wagga,rental-nsw,561000,Wed Jul 01 2026 12:03:08 GMT+1000 (Australian Eastern Standard Time)
buxton-qld-4660,QLD,Fraser Coast,abs-census-2021,248000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
spargo-creek-vic-3461,VIC,Macedon Ranges,rental-vic,334000,Sun May 03 2026 16:36:43 GMT+1000 (Australian Eastern Standard Time)
delamere-nt-0852,NT,Katherine,abs-census-2021,334000,Wed May 06 2026 23:58:37 GMT+1000 (Australian Eastern Standard Time)
verona-nsw-2550,NSW,Snowy Monaro,rental-nsw,640000,Wed Jul 01 2026 12:03:08 GMT+1000 (Australian Eastern Standard Time)
tarraganda-nsw-2550,NSW,Snowy Monaro,rental-nsw,1400000,Wed Jul 01 2026 12:03:08 GMT+1000 (Australian Eastern Standard Time)
wyndham-nsw-2550,NSW,Snowy Monaro,rental-nsw,670000,Wed Jul 01 2026 12:03:08 GMT+1000 (Australian Eastern Standard Time)
stony-creek-qld-4514,QLD,Somerset,abs-census-2021,381000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
goolboo-qld-4856,QLD,Cassowary Coast,abs-census-2021,238000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
sandgate-dc-qld-4017,QLD,Brisbane,abs-census-2021,420000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
kedron-upper-qld-4055,QLD,Moreton Bay,abs-census-2021,462000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
sailors-falls-vic-3461,VIC,Macedon Ranges,rental-vic,334000,Sun May 03 2026 16:36:43 GMT+1000 (Australian Eastern Standard Time)
yowrie-nsw-2550,NSW,Snowy Monaro,rental-nsw,655000,Wed Jul 01 2026 12:03:08 GMT+1000 (Australian Eastern Standard Time)
south-wolumla-nsw-2550,NSW,Snowy Monaro,rental-nsw,940000,Wed Jul 01 2026 12:03:08 GMT+1000 (Australian Eastern Standard Time)
buckajo-nsw-2550,NSW,Snowy Monaro,rental-nsw,1172500,Wed Jul 01 2026 12:03:08 GMT+1000 (Australian Eastern Standard Time)
ivory-creek-qld-4313,QLD,Somerset,sales-qld,262000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
warraber-islet-qld-4875,QLD,Far North,abs-census-2021,394000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
rocklea-dc-qld-4106,QLD,Brisbane,abs-census-2021,360000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
fairfield-gardens-qld-4103,QLD,Brisbane,abs-census-2021,440000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
edith-river-nt-0852,NT,Katherine,abs-census-2021,334000,Wed May 06 2026 23:58:37 GMT+1000 (Australian Eastern Standard Time)
musk-vic-3461,VIC,Macedon Ranges,rental-vic,334000,Sun May 03 2026 16:36:43 GMT+1000 (Australian Eastern Standard Time)
miriam-vale-qld-4677,QLD,Gladstone,sales-qld,264000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
busby-nsw-2168,NSW,Liverpool,rental-nsw,955000,Wed Jul 01 2026 12:03:08 GMT+1000 (Australian Eastern Standard Time)
