population,sharedBy,slug
34942,16,maryborough-dc-qld-4650
34942,16,aubinville-qld-4650
12069,16,florentine-tas-7140
12069,16,mount-field-tas-7140
12069,16,glenfern-tas-7140
12069,16,little-pine-lagoon-tas-7140
12069,16,styx-tas-7140
12069,16,fitzgerald-tas-7140
12069,16,molesworth-tas-7140
12069,16,hamilton-tas-7140
12069,16,victoria-valley-tas-7140
12069,16,plenty-tas-7140
12069,16,osterley-tas-7140
12069,16,ellendale-tas-7140
12069,16,tyenna-tas-7140
12069,16,bushy-park-tas-7140
12069,16,meadowbank-tas-7140
12069,16,butlers-gorge-tas-7140
43997,15,dundas-qld-4306
43997,15,wivenhoe-qld-4306
43997,15,washpool-qld-4306
43997,15,ironbark-qld-4306
43997,15,west-amberley-qld-4306
43997,15,white-rock-qld-4306
43997,15,blackwall-qld-4306
43997,15,pine-mountain-qld-4306
43997,15,holts-hill-qld-4306
43997,15,loamside-qld-4306
43997,15,fernvale-qld-4306
43997,15,bellhaven-qld-4306
43997,15,blackbutt-qld-4306
43997,15,colinton-qld-4306
43997,15,forest-glade-qld-4306
46427,15,long-flat-qld-4570
46427,15,araluen-qld-4570
46427,15,toolara-qld-4570
46427,15,scrubby-creek-qld-4570
46427,15,gympie-dc-qld-4570
46427,15,kia-ora-qld-4570
46427,15,paterson-qld-4570
46427,15,glanmire-qld-4570
46427,15,glenwood-qld-4570
46427,15,victory-heights-qld-4570
46427,15,sandy-creek-qld-4570
46427,15,ross-creek-qld-4570
46427,15,greens-creek-qld-4570
46427,15,chatsworth-qld-4570
46427,15,toolara-forest-qld-4570
35614,15,pilchers-bridge-vic-3551
35614,15,lake-eppalock-vic-3551
35614,15,newbridge-vic-3551
35614,15,arnold-vic-3551
35614,15,emu-creek-vic-3551
35614,15,bendigo-forward-vic-3551
35614,15,kimbolton-vic-3551
35614,15,murphys-creek-vic-3551
35614,15,mosquito-creek-vic-3551
35614,15,myola-vic-3551
35614,15,myola-east-vic-3551
35614,15,epsom-vic-3551
35614,15,minto-vic-3551
35614,15,myrtle-creek-vic-3551
35614,15,ascot-vic-3551
45077,14,the-rocks-nsw-2795
45077,14,jeremy-nsw-2795
45077,14,curragh-nsw-2795
45077,14,o-connell-nsw-2795
45077,14,colo-nsw-2795
45077,14,stewarts-mount-nsw-2795
45077,14,trunkey-nsw-2795
45077,14,oconnell-nsw-2795
45077,14,paling-yards-nsw-2795
45077,14,yarras-nsw-2795
45077,14,twenty-forests-nsw-2795
45077,14,box-ridge-nsw-2795
45077,14,winburndale-nsw-2795
45077,14,bathurst-west-nsw-2795
19146,14,munghorn-nsw-2850
19146,14,murragamba-nsw-2850
19146,14,long-creek-nsw-2850
19146,14,glen-ayr-nsw-2850
19146,14,gulgamree-nsw-2850
19146,14,ullamalla-nsw-2850
19146,14,millsville-nsw-2850
19146,14,ben-buckley-nsw-2850
19146,14,wilpinjong-nsw-2850
19146,14,mogo-nsw-2850
19146,14,tichular-nsw-2850
19146,14,barigan-nsw-2850
19146,14,milroy-nsw-2850
19146,14,stony-creek-nsw-2850
31026,14,rangemore-qld-4352
31026,14,hampton-qld-4352
31026,14,woodleigh-qld-4352
31026,14,preston-qld-4352
31026,14,birnam-qld-4352
31026,14,cawdor-qld-4352
31026,14,highfields-qld-4352
31026,14,murphys-creek-qld-4352
31026,14,palm-tree-qld-4352
31026,14,ramsay-qld-4352
31026,14,toowoomba-mc-qld-4352
31026,14,lilyvale-qld-4352
31026,14,glencoe-qld-4352
31026,14,grape-tree-qld-4352
19720,14,lake-sorell-tas-7030
19720,14,liawenee-tas-7030
19720,14,dromedary-tas-7030
19720,14,elderslie-tas-7030
19720,14,bagdad-north-tas-7030
19720,14,pelham-tas-7030
19720,14,brighton-tas-7030
19720,14,millers-bluff-tas-7030
19720,14,apsley-tas-7030
19720,14,bridgewater-tas-7030
19720,14,dysart-tas-7030
19720,14,mangalore-tas-7030
19720,14,jericho-tas-7030
19720,14,shannon-tas-7030
18922,14,chapel-flat-vic-3352
18922,14,wattle-flat-vic-3352
18922,14,clarendon-vic-3352
18922,14,mount-mitchell-vic-3352
18922,14,enfield-vic-3352
18922,14,bungaree-vic-3352
18922,14,mitchell-park-vic-3352
18922,14,leigh-creek-vic-3352
18922,14,ballarat-roadside-delivery-vic-3352
18922,14,invermay-vic-3352
18922,14,learmonth-vic-3352
18922,14,millbrook-vic-3352
18922,14,windermere-vic-3352
18922,14,bonshaw-vic-3352
8735,13,wave-hill-nt-0852
8735,13,nitjpurru-nt-0852
8735,13,nutwood-downs-nt-0852
8735,13,edith-river-nt-0852
8735,13,miniyerri-nt-0852
8735,13,helen-springs-station-nt-0852
8735,13,maranboy-nt-0852
8735,13,victoria-river-downs-nt-0852
8735,13,dunmarra-nt-0852
8735,13,elsey-station-nt-0852
8735,13,kalkaringi-nt-0852
8735,13,gulung-mardrulk-nt-0852
8735,13,wugularr-nt-0852
21445,13,combo-nsw-2330
21445,13,glendonbrook-nsw-2330
21445,13,st-clair-nsw-2330
21445,13,mount-olive-nsw-2330
21445,13,darlington-nsw-2330
21445,13,greenlands-nsw-2330
21445,13,long-point-nsw-2330
21445,13,wollemi-nsw-2330
21445,13,big-yengo-nsw-2330
21445,13,gowrie-nsw-2330
21445,13,howick-nsw-2330
21445,13,dural-nsw-2330
21445,13,singleton-dc-nsw-2330
10066,13,bermagui-south-nsw-2546
10066,13,greendale-nsw-2546
10066,13,beauty-point-nsw-2546
10066,13,wallaga-lake-heights-nsw-2546
10066,13,spring-hill-vic-3444
10066,13,mia-mia-vic-3444
10066,13,baynton-east-vic-3444
10066,13,myrtle-creek-vic-3444
10066,13,greenhill-vic-3444
10066,13,lyal-vic-3444
10066,13,baynton-vic-3444
10066,13,wadbilliga-nsw-2546
10066,13,tylden-south-vic-3444
19195,13,rosehill-qld-4370
19195,13,glennie-heights-qld-4370
19195,13,maryvale-qld-4370
19195,13,gladfield-qld-4370
19195,13,cunningham-qld-4370
19195,13,swan-creek-qld-4370
19195,13,warwick-qld-4370
19195,13,warwick-dc-qld-4370
19195,13,the-glen-qld-4370
19195,13,montrose-qld-4370
19195,13,willowvale-qld-4370
19195,13,north-branch-qld-4370
19195,13,rosenthal-qld-4370
9743,12,benarca-nsw-2710
9743,12,gulpa-nsw-2710
9743,12,hill-plain-nsw-2710
9743,12,jimaringle-nsw-2710
9743,12,yallakool-nsw-2710
9743,12,brassi-nsw-2710
9743,12,moonahcullah-nsw-2710
9743,12,cornalla-nsw-2710
9743,12,moira-nsw-2710
9743,12,willurah-nsw-2710
9743,12,steam-plains-nsw-2710
9743,12,deniliquin-north-nsw-2710
16936,12,mumbulla-mountain-nsw-2550
16936,12,yankees-creek-nsw-2550
16936,12,greendale-nsw-2550
16936,12,stony-creek-nsw-2550
16936,12,bunga-nsw-2550
16936,12,kingswood-nsw-2550
16936,12,logan-hyperdome-bc-qld-4128
16936,12,coolangubra-nsw-2550
16936,12,yambulla-nsw-2550
16936,12,kimberley-park-qld-4128
16936,12,wog-wog-nsw-2550
16936,12,nelson-nsw-2550
5263,12,gungarlin-nsw-2627
5263,12,ngarigo-nsw-2627
5263,12,lower-thredbo-nsw-2627
5263,12,ingeegoodbee-nsw-2627
5263,12,bullocks-flat-nsw-2627
5263,12,jacobs-river-nsw-2627
5263,12,kosciuszko-nsw-2627
5263,12,pilot-wilderness-nsw-2627
5263,12,kosciuszko-national-park-nsw-2627
5263,12,kosciusko-national-park-nsw-2627
5263,12,ingebyra-nsw-2627
5263,12,kosciusko-nsw-2627
31629,12,mayfield-nsw-2580
31629,12,wowagin-nsw-2580
31629,12,mount-rae-nsw-2580
31629,12,spring-valley-nsw-2580
31629,12,six-mile-flat-nsw-2580
31629,12,goulburn-dc-nsw-2580
31629,12,goulburn-north-nsw-2580
31629,12,komungla-nsw-2580
31629,12,leighwood-nsw-2580
31629,12,wiaborough-nsw-2580
31629,12,mcalister-nsw-2580
31629,12,paling-yards-nsw-2580
21078,12,walhalla-east-vic-3825
21078,12,thomson-vic-3825
21078,12,hill-end-vic-3825
21078,12,westbury-vic-3825
21078,12,thalloo-vic-3825
21078,12,tanjil-vic-3825
21078,12,coopers-creek-vic-3825
21078,12,jericho-vic-3825
21078,12,boola-vic-3825
21078,12,newborough-east-vic-3825
21078,12,thaloo-vic-3825
21078,12,toombon-vic-3825
20015,12,marthavale-vic-3875
20015,12,ryans-vic-3875
20015,12,broadlands-vic-3875
20015,12,banksia-peninsula-vic-3875
20015,12,wentworth-vic-3875
20015,12,merrijig-vic-3875
20015,12,hillside-vic-3875
20015,12,eastwood-vic-3875
20015,12,lucknow-vic-3875
20015,12,deptford-vic-3875
