id,suburbSlug,suburbName,postcode,state,period,periodDate,medianRentHouse,medianRentUnit,medianRent3Bed,medianRent2Bed,medianRent1Bed,bondLodgements,source,createdAt,updatedAt
"cmopedgfh000c2aevrgpafszk",,"Flemington-Kensington","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"570",,,,,,"rental-vic",2026-05-03T06:36:23.021Z,2026-05-03T06:36:23.021Z
"cmopedt42003e2aevr8a4izue",,"Flora Hill-Bendigo East","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"460",,,,,,"rental-vic",2026-05-03T06:36:39.458Z,2026-05-03T06:36:39.458Z
"cmopedlbg001h2aev6tusoo3f","footscray-vic-3011","Footscray","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"525",,,,,,"rental-vic",2026-05-03T06:36:29.356Z,2026-05-03T06:36:29.356Z
"cmopedrbd002y2aevf1a5ve6l","frankston-vic-3199","Frankston","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"550",,,,,,"rental-vic",2026-05-03T06:36:37.129Z,2026-05-03T06:36:37.129Z
"cmopedrzs00342aev6l1ovufq",,"Geelong-Newcombe","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"470",,,,,,"rental-vic",2026-05-03T06:36:38.008Z,2026-05-03T06:36:38.008Z
"cmopedn62001y2aevyd8uk8dy",,"Gladstone Park-Tullamarine","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"530",,,,,,"rental-vic",2026-05-03T06:36:31.754Z,2026-05-03T06:36:31.754Z
"cmopediz1000x2aevi4h4jv1t",,"Glen Waverley-Mulgrave","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"695",,,,,,"rental-vic",2026-05-03T06:36:26.317Z,2026-05-03T06:36:26.317Z
"cmopedt7u003f2aevaxhtihi8",,"Golden Square-Kangaroo Flat","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"475",,,,,,"rental-vic",2026-05-03T06:36:39.594Z,2026-05-03T06:36:39.594Z
"cmopedtw5003l2aevwxs6h6ss","hamilton-vic-3300","Hamilton","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"370",,,,,,"rental-vic",2026-05-03T06:36:40.469Z,2026-05-03T06:36:40.469Z
"cmopedkma001b2aevoxrw6lda",,"Hampton-Beaumaris","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"750",,,,,,"rental-vic",2026-05-03T06:36:28.450Z,2026-05-03T06:36:28.450Z
"cmopedrf9002z2aevpb9gj645",,"Hastings-Flinders","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"580",,,,,,"rental-vic",2026-05-03T06:36:37.269Z,2026-05-03T06:36:37.269Z
"cmopedj36000y2aev7jhhr8o0","hawthorn-vic-3122","Hawthorn","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"550",,,,,,"rental-vic",2026-05-03T06:36:26.466Z,2026-05-03T06:36:26.466Z
"cmopedod300282aev32i3ylq5",,"Heidelberg-Heidelberg West","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"565",,,,,,"rental-vic",2026-05-03T06:36:33.303Z,2026-05-03T06:36:33.303Z
"cmopeds3r00352aev1e9y161m",,"Herne Hill-Geelong West","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"480",,,,,,"rental-vic",2026-05-03T06:36:38.151Z,2026-05-03T06:36:38.151Z
"cmopedu05003m2aev36um8cul",,"Horsham","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"390",,,,,,"rental-vic",2026-05-03T06:36:40.613Z,2026-05-03T06:36:40.613Z
"cmopedoh000292aev6jr6a52s",,"Ivanhoe-Ivanhoe East","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"600",,,,,,"rental-vic",2026-05-03T06:36:33.444Z,2026-05-03T06:36:33.444Z
"cmopednac001z2aevhmszuz0w","keilor-vic-3036","Keilor","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"650",,,,,,"rental-vic",2026-05-03T06:36:31.908Z,2026-05-03T06:36:31.908Z
"cmopedlfa001i2aev2z5psw10",,"Keilor East-Avondale Heights","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"550",,,,,,"rental-vic",2026-05-03T06:36:29.494Z,2026-05-03T06:36:29.494Z
"cmopedj7m000z2aevomc4irkf","kew-vic-3101","Kew","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"690",,,,,,"rental-vic",2026-05-03T06:36:26.626Z,2026-05-03T06:36:26.626Z
"cmopeds7o00362aevywi72g09","lara-vic-3212","Lara","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"550",,,,,,"rental-vic",2026-05-03T06:36:38.292Z,2026-05-03T06:36:38.292Z
"cmopedkqf001c2aevt7llm7w9",,"Malvern","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"630",,,,,,"rental-vic",2026-05-03T06:36:28.599Z,2026-05-03T06:36:28.599Z
"cmopedkut001d2aev93j57cmv","malvern-east-vic-3145","Malvern East","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"610",,,,,,"rental-vic",2026-05-03T06:36:28.757Z,2026-05-03T06:36:28.757Z
"cmopedlj9001j2aevf27qqhdk","melton-vic-3337","Melton","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"450",,,,,,"rental-vic",2026-05-03T06:36:29.637Z,2026-05-03T06:36:29.637Z
"cmopedkz1001e2aevsh3s5ul9",,"Mentone-Parkdale-Mordialloc","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"580",,,,,,"rental-vic",2026-05-03T06:36:28.909Z,2026-05-03T06:36:28.909Z
"cmopedu4e003n2aevvrtqhyve","mildura-vic-3500","Mildura","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"460",,,,,,"rental-vic",2026-05-03T06:36:40.766Z,2026-05-03T06:36:40.766Z
"cmopedol9002a2aevwzlsvghc",,"Mill Park-Epping","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"530",,,,,,"rental-vic",2026-05-03T06:36:33.597Z,2026-05-03T06:36:33.597Z
"cmopedu8e003o2aevsprb88p7",,"Moe-Newborough","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"390",,,,,,"rental-vic",2026-05-03T06:36:40.910Z,2026-05-03T06:36:40.910Z
"cmopednff00202aevfjsjxbc8",,"Moonee Ponds-Ascot Vale","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"575",,,,,,"rental-vic",2026-05-03T06:36:32.091Z,2026-05-03T06:36:32.091Z
"cmopeducn003p2aevuzffu5x0","morwell-vic-3840","Morwell","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"380",,,,,,"rental-vic",2026-05-03T06:36:41.063Z,2026-05-03T06:36:41.063Z
"cmopedsnd003a2aev0pi8hbua",,"Mount Clear-Buninyong","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"420",,,,,,"rental-vic",2026-05-03T06:36:38.857Z,2026-05-03T06:36:38.857Z
"cmopedjbw00102aevmqfv3cqy","mount-waverley-vic-3149","Mount Waverley","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"695",,,,,,"rental-vic",2026-05-03T06:36:26.780Z,2026-05-03T06:36:26.780Z
"cmopedrjl00302aev02hhbu0c",,"Mt Eliza-Mornington-Mt Martha","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"695",,,,,,"rental-vic",2026-05-03T06:36:37.425Z,2026-05-03T06:36:37.425Z
"cmopedl30001f2aevdxu0gbtl",,"Murrumbeena-Hughesdale","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"580",,,,,,"rental-vic",2026-05-03T06:36:29.052Z,2026-05-03T06:36:29.052Z
"cmopedqrf002t2aevidp1epki",,"Narre Warren-Hampton Park","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"560",,,,,,"rental-vic",2026-05-03T06:36:36.411Z,2026-05-03T06:36:36.411Z
"cmopedln4001k2aev55xmtxm7",,"Newport-Spotswood","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"620",,,,,,"rental-vic",2026-05-03T06:36:29.776Z,2026-05-03T06:36:29.776Z
"cmopedsbh00372aev2eaw1ycm",,"Newtown","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"500",,,,,,"rental-vic",2026-05-03T06:36:38.429Z,2026-05-03T06:36:38.429Z
"cmopedqv9002u2aevce4aj3d8","noble-park-vic-3174","Noble Park","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"520",,,,,,"rental-vic",2026-05-03T06:36:36.549Z,2026-05-03T06:36:36.549Z
"cmopedtc2003g2aevk2io31nb","north-bendigo-vic-3550","North Bendigo","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"480",,,,,,"rental-vic",2026-05-03T06:36:39.746Z,2026-05-03T06:36:39.746Z
"cmopedopf002b2aevbdkp120b","northcote-vic-3070","Northcote","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"640",,,,,,"rental-vic",2026-05-03T06:36:33.747Z,2026-05-03T06:36:33.747Z
"cmopedsfi00382aev11s54w11","north-geelong-vic-3215","North Geelong","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"480",,,,,,"rental-vic",2026-05-03T06:36:38.574Z,2026-05-03T06:36:38.574Z
"cmopedgjr000d2aevk2bq0rs9",,"North Melbourne-West Melbourne","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"600",,,,,,"rental-vic",2026-05-03T06:36:23.174Z,2026-05-03T06:36:23.174Z
"cmopedjgf00112aevbbglh1p6",,"Nunawading-Mitcham","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"580",,,,,,"rental-vic",2026-05-03T06:36:26.943Z,2026-05-03T06:36:26.943Z
"cmopednjp00212aevxz7hfrmc",,"Oak Park-Glenroy-Fawkner","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"530",,,,,,"rental-vic",2026-05-03T06:36:32.245Z,2026-05-03T06:36:32.245Z
"cmopedugp003q2aevdl4rr36l",,"Ocean Grove-Barwon Heads","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"570",,,,,,"rental-vic",2026-05-03T06:36:41.209Z,2026-05-03T06:36:41.209Z
"cmopedqz9002v2aev79xgfq73","pakenham-vic-3810","Pakenham","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"540",,,,,,"rental-vic",2026-05-03T06:36:36.693Z,2026-05-03T06:36:36.693Z
"cmopednnq00222aevqz6jcv90",,"Pascoe Vale-Coburg North","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"550",,,,,,"rental-vic",2026-05-03T06:36:32.390Z,2026-05-03T06:36:32.390Z
"cmopedul2003r2aevjapyiain","portland-vic-3305","Portland","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"420",,,,,,"rental-vic",2026-05-03T06:36:41.366Z,2026-05-03T06:36:41.366Z
"cmopedgo5000e2aevvk9vp5e4","port-melbourne-vic-3207","Port Melbourne","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"795",,,,,,"rental-vic",2026-05-03T06:36:23.333Z,2026-05-03T06:36:23.333Z
"cmopedgsj000f2aev3zs2vome",,"Prahran-Windsor","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"590",,,,,,"rental-vic",2026-05-03T06:36:23.491Z,2026-05-03T06:36:23.491Z
"cmopedotp002c2aevl2rzor6e","preston-vic-3072","Preston","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"560",,,,,,"rental-vic",2026-05-03T06:36:33.901Z,2026-05-03T06:36:33.901Z
"cmopedoxh002d2aevk6usr45q","reservoir-vic-3073","Reservoir","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"530",,,,,,"rental-vic",2026-05-03T06:36:34.037Z,2026-05-03T06:36:34.037Z
"cmopedgxq000g2aev5dhc5qie",,"Richmond-Burnley","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"675",,,,,,"rental-vic",2026-05-03T06:36:23.678Z,2026-05-03T06:36:23.678Z
"cmopedpv6002l2aevns096rob","ringwood-vic-3134","Ringwood","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"560",,,,,,"rental-vic",2026-05-03T06:36:35.250Z,2026-05-03T06:36:35.250Z
"cmopedpz7002m2aev04zihggh","rowville-vic-3178","Rowville","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"650",,,,,,"rental-vic",2026-05-03T06:36:35.395Z,2026-05-03T06:36:35.395Z
"cmopeduqe003s2aev680akavv",,"Sale-Maffra","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"450",,,,,,"rental-vic",2026-05-03T06:36:41.558Z,2026-05-03T06:36:41.558Z
"cmopedrnr00312aev36ma1q6b",,"Seaford-Carrum Downs","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"560",,,,,,"rental-vic",2026-05-03T06:36:37.575Z,2026-05-03T06:36:37.575Z
"cmopedsrz003b2aev4fit9xkg",,"Sebastopol-Delacombe","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"430",,,,,,"rental-vic",2026-05-03T06:36:39.023Z,2026-05-03T06:36:39.023Z
"cmopeduud003t2aevh67ea909","seymour-vic-3660","Seymour","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"410",,,,,,"rental-vic",2026-05-03T06:36:41.701Z,2026-05-03T06:36:41.701Z
"cmopeduz5003u2aevm9lc1war","shepparton-vic-3630","Shepparton","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"460",,,,,,"rental-vic",2026-05-03T06:36:41.873Z,2026-05-03T06:36:41.873Z
"cmopedhao000j2aev66626142","southbank-vic-3006","Southbank","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"680",,,,,,"rental-vic",2026-05-03T06:36:24.144Z,2026-05-03T06:36:24.144Z
"cmopedh26000h2aevmzdwup64","south-melbourne-vic-3205","South Melbourne","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"650",,,,,,"rental-vic",2026-05-03T06:36:23.838Z,2026-05-03T06:36:23.838Z
"cmopedh6d000i2aev86fbfgvp","south-yarra-vic-3141","South Yarra","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"620",,,,,,"rental-vic",2026-05-03T06:36:23.989Z,2026-05-03T06:36:23.989Z
"cmopedr3a002w2aevlvfkcmu7","springvale-vic-3171","Springvale","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"570",,,,,,"rental-vic",2026-05-03T06:36:36.838Z,2026-05-03T06:36:36.838Z
"cmopedlr2001l2aev3fayvl2g",,"St Albans-Deer Park","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"470",,,,,,"rental-vic",2026-05-03T06:36:29.918Z,2026-05-03T06:36:29.918Z
"cmopedhf1000k2aev68mcrjd4","st-kilda-vic-3182","St Kilda","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"560",,,,,,"rental-vic",2026-05-03T06:36:24.301Z,2026-05-03T06:36:24.301Z
