slug,state,postcode,population,medianAge,sharedInPostcode
cottawalla-nsw-2583,NSW,2583,4604,52,12
curragh-nsw-2795,NSW,2795,45077,39,14
glenerin-nsw-2583,NSW,2583,4604,52,12
greenmantle-nsw-2583,NSW,2583,4604,52,12
hadley-nsw-2583,NSW,2583,4604,52,12
junction-point-nsw-2583,NSW,2583,4604,52,12
soudan-heights-nsw-2350,NSW,2350,26911,36,19
south-hill-nsw-2350,NSW,2350,26911,36,19
st-patricks-nsw-2350,NSW,2350,26911,36,19
west-armidale-nsw-2350,NSW,2350,26911,36,19
rosewood-nsw-2652,NSW,2652,4757,42,2
marulan-south-nsw-2579,NSW,2579,4646,46,1
wowagin-nsw-2580,NSW,2580,31629,42,12
greendale-nsw-2550,NSW,2550,16936,49,10
morven-nsw-2370,NSW,2370,7785,48,3
stony-creek-nsw-2550,NSW,2550,16936,49,10
shipley-nsw-2785,NSW,2785,4822,53,2
lavington-dc-nsw-2641,NSW,2641,16550,39,1
wonboyn-north-nsw-2551,NSW,2551,3718,53,5
sherlock-wa-6714,WA,6714,17657,78,6
tikalina-sa-5440,SA,5440,169,49,38
woodstock-nsw-2793,NSW,2793,1074,55,2
loganholme-sa-4129,SA,4129,6764,34,1
sherwood-nsw-2450,NSW,2450,47335,44,6
yellow-rock-ridge-nsw-2527,NSW,2527,26072,35,3
woodlands-nsw-2575,NSW,2575,17846,42,7
hill-top-nsw-2575,NSW,2575,17846,42,7
maryland-nsw-2287,NSW,2287,40845,36,4
lambs-valley-nsw-2335,NSW,2335,8124,34,3
swan-bay-nsw-2324,NSW,2324,25443,47,7
silverwater-nsw-2264,NSW,2264,16162,47,2
limeburners-creek-nsw-2324,NSW,2324,25443,47,7
colongra-nsw-2262,NSW,2262,21411,39,2
yarras-nsw-2795,NSW,2795,45077,39,14
long-point-nsw-2564,NSW,2564,14198,36,2
bradfield-nsw-2556,NSW,2556,2433,42,2
huntley-nsw-2800,NSW,2800,48283,37,21
green-point-nsw-2428,NSW,2428,25187,58,5
woodlands-nsw-2536,NSW,2536,19333,53,5
badagarang-nsw-2540,NSW,2540,48267,49,14
sherwood-nsw-2440,NSW,2440,23166,45,4
beargamil-nsw-2870,NSW,2870,12036,39,11
conoble-nsw-2878,NSW,2878,286,42,4
muronbung-nsw-2830,NSW,2830,44963,36,18
nubingerie-nsw-2831,NSW,2831,1845,41,5
biraganbil-nsw-2852,NSW,2852,3734,42,2
yethera-nsw-2874,NSW,2874,369,50,2
north-macquarie-nsw-2527,NSW,2527,26072,35,3
