slug,name,postcode,medianRentHouse,medianRentUnit,rentalUpdatedAt,statsSource
boonerdo-sa-5633,"Boonerdo",5633,123,105,2026-07-01T02:02:17.568Z,rental-sa
boors-plain-sa-5554,"Boors Plain",5554,250,200,2026-07-01T02:02:17.568Z,rental-sa
bordertown-south-sa-5268,"Bordertown South",5268,220,380,2026-07-01T02:02:17.568Z,rental-sa
borrika-sa-5309,"Borrika",5309,135,150,2026-07-01T02:02:17.568Z,rental-sa
bosworth-sa-5720,"Bosworth",5720,100,85,2026-07-01T02:02:17.568Z,rental-sa
bower-sa-5374,"Bower",5374,200,170,2026-07-01T02:02:17.568Z,rental-sa
bowhill-sa-5238,"Bowhill",5238,215,160,2026-07-01T02:02:17.568Z,rental-sa
bowillia-sa-5461,"Bowillia",5461,227,193,2026-07-01T02:02:17.568Z,rental-sa
bowmans-sa-5550,"Bowmans",5550,223,280,2026-07-01T02:02:17.568Z,rental-sa
bradbury-sa-5153,"Bradbury",5153,340,350,2026-07-01T02:02:17.568Z,sales-sa
bramfield-sa-5670,"Bramfield",5670,200,100,2026-07-01T02:02:17.568Z,rental-sa
bray-sa-5276,"Bray",5276,250,125,2026-07-01T02:02:17.568Z,rental-sa
brenda-park-sa-5320,"Brenda Park",5320,180,153,2026-07-01T02:02:17.568Z,rental-sa
brentwood-sa-5575,"Brentwood",5575,200,150,2026-07-01T02:02:17.568Z,rental-sa
bright-sa-5381,"Bright",5381,200,250,2026-07-01T02:02:17.568Z,rental-sa
brimbago-sa-5267,"Brimbago",5267,170,185,2026-07-01T02:02:17.568Z,rental-sa
brinkley-sa-5253,"Brinkley",5253,240,205,2026-07-01T02:02:17.568Z,rental-sa
brinkworth-sa-5464,"Brinkworth",5464,183,178,2026-07-01T02:02:17.568Z,rental-sa
broken-hill-sa-2880,"Broken Hill",2880,220,187,2026-07-01T02:02:17.568Z,rental-sa
broughton-river-valley-sa-5454,"Broughton River Valley",5454,150,128,2026-07-01T02:02:17.568Z,rental-sa
brown-beach-sa-5222,"Brown Beach",5222,220,187,2026-07-01T02:02:17.568Z,rental-sa
brown-hill-creek-sa-5062,"Brown Hill Creek",5062,340,275,2026-07-01T02:02:17.568Z,rental-sa
brownlow-ki-sa-5223,"Brownlow Ki",5223,211,208,2026-07-01T02:02:17.568Z,rental-sa
brownlow-sa-5223,"Brownlow",5223,211,200,2026-07-01T02:02:17.568Z,rental-sa
brownlow-sa-5374,"Brownlow",5374,200,200,2026-07-01T02:02:17.568Z,rental-sa
browns-beach-sa-5222,"Browns Beach",5222,220,187,2026-07-01T02:02:17.568Z,rental-sa
bruce-sa-5433,"Bruce",5433,200,170,2026-07-01T02:02:17.568Z,rental-sa
buccleuch-sa-5254,"Buccleuch",5254,250,213,2026-07-01T02:02:17.568Z,rental-sa
buchanan-sa-5374,"Buchanan",5374,200,250,2026-07-01T02:02:17.568Z,rental-sa
buchfelde-sa-5118,"Buchfelde",5118,280,280,2026-07-01T02:02:17.568Z,rental-sa
buckingham-sa-5270,"Buckingham",5270,200,165,2026-07-01T02:02:17.568Z,rental-sa
buckland-park-sa-5120,"Buckland Park",5120,300,291,2026-07-01T02:02:17.568Z,rental-sa
buckleboo-sa-5641,"Buckleboo",5641,150,128,2026-07-01T02:02:17.568Z,rental-sa
bugle-ranges-sa-5251,"Bugle Ranges",5251,350,268,2026-07-01T02:02:17.568Z,rental-sa
bulgunnia-sa-5719,"Bulgunnia",5719,330,281,2026-07-01T02:02:17.568Z,rental-sa
bull-creek-sa-5157,"Bull Creek",5157,285,400,2026-07-01T02:02:17.568Z,rental-sa
bulloo-creek-sa-5440,"Bulloo Creek",5440,75,64,2026-07-01T02:02:17.568Z,rental-sa
bumbunga-sa-5520,"Bumbunga",5520,150,150,2026-07-01T02:02:17.568Z,rental-sa
bunbury-sa-5266,"Bunbury",5266,150,128,2026-07-01T02:02:17.568Z,rental-sa
bundaleer-gardens-sa-5491,"Bundaleer Gardens",5491,210,179,2026-07-01T02:02:17.568Z,rental-sa
bundaleer-north-sa-5491,"Bundaleer North",5491,210,210,2026-07-01T02:02:17.568Z,rental-sa
bundey-sa-5320,"Bundey",5320,180,60,2026-07-01T02:02:17.568Z,rental-sa
bungama-sa-5540,"Bungama",5540,185,300,2026-07-01T02:02:17.568Z,rental-sa
bungaree-sa-5464,"Bungaree",5464,183,350,2026-07-01T02:02:17.568Z,rental-sa
bungeroo-sa-5641,"Bungeroo",5641,150,128,2026-07-01T02:02:17.568Z,rental-sa
bunyung-sa-5417,"Bunyung",5417,183,156,2026-07-01T02:02:17.568Z,rental-sa
burdett-sa-5253,"Burdett",5253,240,150,2026-07-01T02:02:17.568Z,rental-sa
burnsfield-sa-5520,"Burnsfield",5520,150,140,2026-07-01T02:02:17.568Z,rental-sa
burra-eastern-districts-sa-5417,"Burra Eastern Districts",5417,183,156,2026-07-01T02:02:17.568Z,rental-sa
burrungule-sa-5291,"Burrungule",5291,220,210,2026-07-01T02:02:17.568Z,rental-sa
burr-well-sa-5732,"Burr Well",5732,90,77,2026-07-01T02:02:17.568Z,rental-sa
butler-sa-5605,"Butler",5605,220,120,2026-07-01T02:02:17.568Z,rental-sa
cadell-lagoon-sa-5321,"Cadell Lagoon",5321,145,123,2026-07-01T02:02:17.568Z,rental-sa
cadgee-sa-5271,"Cadgee",5271,225,100,2026-07-01T02:02:17.568Z,rental-sa
calamvale-sa-4116,"Calamvale",4116,420,357,2026-07-01T02:02:17.568Z,rental-sa
calca-sa-5671,"Calca",5671,100,85,2026-07-01T02:02:17.568Z,rental-sa
callanna-sa-5733,"Callanna",5733,80,68,2026-07-01T02:02:17.568Z,rental-sa
calomba-sa-5501,"Calomba",5501,290,200,2026-07-01T02:02:17.568Z,rental-sa
caloote-sa-5254,"Caloote",5254,250,210,2026-07-01T02:02:17.568Z,rental-sa
