slug,name,postcode,medianRentHouse,medianRentUnit,rentalUpdatedAt,statsSource
banksia-peninsula-vic-3875,"Banksia Peninsula",3875,280,238,2026-05-03T06:36:43.056Z,rental-vic
bannerton-vic-3549,"Bannerton",3549,214,230,2026-05-03T06:36:43.056Z,rental-vic
bannockburn-vic-3331,"Bannockburn",3331,390,332,2026-05-03T06:36:43.056Z,sales-vic
banyan-vic-3485,"Banyan",3485,100,85,2026-05-03T06:36:43.056Z,rental-vic
banyena-vic-3388,"Banyena",3388,165,140,2026-05-03T06:36:43.056Z,rental-vic
banyenong-vic-3480,"Banyenong",3480,180,153,2026-05-03T06:36:43.056Z,rental-vic
banyule-vic-3084,"Banyule",3084,411,349,2026-05-03T06:36:43.056Z,rental-vic
baranduda-vic-3691,"Baranduda",3691,340,355,2026-05-03T06:36:43.056Z,sales-vic
bareena-vic-3220,"Bareena",3220,360,306,2026-05-03T06:36:43.056Z,rental-vic
barfold-vic-3444,"Barfold",3444,351,165,2026-05-03T06:36:43.056Z,rental-vic
baringhup-vic-3463,"Baringhup",3463,268,323,2026-05-03T06:36:43.056Z,rental-vic
baringhup-west-vic-3463,"Baringhup West",3463,268,250,2026-05-03T06:36:43.056Z,rental-vic
barjarg-vic-3723,"Barjarg",3723,273,253,2026-05-03T06:36:43.056Z,rental-vic
barkers-creek-vic-3451,"Barkers Creek",3451,305,250,2026-05-03T06:36:43.056Z,rental-vic
barkly-vic-3381,"Barkly",3381,250,213,2026-05-03T06:36:43.056Z,rental-vic
barkly-vic-3384,"Barkly",3384,155,132,2026-05-03T06:36:43.056Z,rental-vic
barkstead-vic-3352,"Barkstead",3352,322,274,2026-05-03T06:36:43.056Z,rental-vic
barkstead-vic-3364,"Barkstead",3364,207,176,2026-05-03T06:36:43.056Z,rental-vic
barmah-vic-3639,"Barmah",3639,177,190,2026-05-03T06:36:43.056Z,rental-vic
barnadown-vic-3557,"Barnadown",3557,245,100,2026-05-03T06:36:43.056Z,rental-vic
barnawartha-north-vic-3688,"Barnawartha North",3688,280,210,2026-05-03T06:36:43.056Z,rental-vic
barnawartha-north-vic-3691,"Barnawartha North",3691,340,210,2026-05-03T06:36:43.056Z,rental-vic
barnawartha-vic-3688,"Barnawartha",3688,280,293,2026-05-03T06:36:43.056Z,rental-vic
baromi-vic-3871,"Baromi",3871,258,298,2026-05-03T06:36:43.056Z,rental-vic
baromi-vic-3971,"Baromi",3971,236,298,2026-05-03T06:36:43.056Z,rental-vic
barongarook-vic-3249,"Barongarook",3249,250,300,2026-05-03T06:36:43.056Z,rental-vic
barongarook-west-vic-3249,"Barongarook West",3249,250,370,2026-05-03T06:36:43.056Z,rental-vic
barrabool-vic-3221,"Barrabool",3221,370,301,2026-05-03T06:36:43.056Z,rental-vic
barrakee-vic-3525,"Barrakee",3525,200,170,2026-05-03T06:36:43.056Z,rental-vic
barramunga-vic-3249,"Barramunga",3249,250,220,2026-05-03T06:36:43.056Z,rental-vic
barraport-vic-3537,"Barraport",3537,180,235,2026-05-03T06:36:43.056Z,rental-vic
barraport-west-vic-3537,"Barraport West",3537,180,153,2026-05-03T06:36:43.056Z,rental-vic
barrys-reef-vic-3458,"Barrys Reef",3458,350,268,2026-05-03T06:36:43.056Z,rental-vic
barunah-park-vic-3329,"Barunah Park",3329,300,255,2026-05-03T06:36:43.056Z,rental-vic
barunah-plains-vic-3329,"Barunah Plains",3329,300,255,2026-05-03T06:36:43.056Z,rental-vic
barwidgee-vic-3737,"Barwidgee",3737,250,200,2026-05-03T06:36:43.056Z,rental-vic
barwite-vic-3722,"Barwite",3722,331,250,2026-05-03T06:36:43.056Z,rental-vic
barwon-downs-vic-3243,"Barwon Downs",3243,300,230,2026-05-03T06:36:43.056Z,rental-vic
basalt-vic-3460,"Basalt",3460,331,281,2026-05-03T06:36:43.056Z,rental-vic
bass-vic-3991,"Bass",3991,225,225,2026-05-03T06:36:43.056Z,rental-vic
batesford-vic-3213,"Batesford",3213,350,325,2026-05-03T06:36:43.056Z,rental-vic
batesford-vic-3221,"Batesford",3221,370,325,2026-05-03T06:36:43.056Z,rental-vic
bathumi-vic-3730,"Bathumi",3730,290,250,2026-05-03T06:36:43.056Z,rental-vic
batman-vic-3058,"Batman",3058,421,358,2026-05-03T06:36:43.056Z,rental-vic
baw-baw-vic-3833,"Baw Baw",3833,250,213,2026-05-03T06:36:43.056Z,rental-vic
baw-baw-village-vic-3833,"Baw Baw Village",3833,250,213,2026-05-03T06:36:43.056Z,rental-vic
baxter-vic-3911,"Baxter",3911,356,360,2026-05-03T06:36:43.056Z,sales-vic
bayindeen-vic-3375,"Bayindeen",3375,169,144,2026-05-03T06:36:43.056Z,rental-vic
bayles-vic-3981,"Bayles",3981,313,425,2026-05-03T06:36:43.056Z,rental-vic
baynton-east-vic-3444,"Baynton East",3444,351,298,2026-05-03T06:36:43.056Z,rental-vic
baynton-vic-3444,"Baynton",3444,351,298,2026-05-03T06:36:43.056Z,rental-vic
bayswater-north-vic-3153,"Bayswater North",3153,370,360,2026-05-03T06:36:43.056Z,sales-vic
beaconsfield-upper-vic-3808,"Beaconsfield Upper",3808,350,368,2026-05-03T06:36:43.056Z,sales-vic
beaconsfield-vic-3807,"Beaconsfield",3807,390,332,2026-05-03T06:36:43.056Z,sales-vic
bealiba-vic-3475,"Bealiba",3475,178,130,2026-05-03T06:36:43.056Z,rental-vic
bearii-vic-3641,"Bearii",3641,210,185,2026-05-03T06:36:43.056Z,rental-vic
bears-lagoon-vic-3517,"Bears Lagoon",3517,185,125,2026-05-03T06:36:43.056Z,rental-vic
beauchamp-vic-3579,"Beauchamp",3579,200,185,2026-05-03T06:36:43.056Z,rental-vic
beauchamp-vic-3581,"Beauchamp",3581,188,185,2026-05-03T06:36:43.056Z,rental-vic
beaufort-vic-3373,"Beaufort",3373,231,196,2026-05-03T06:36:43.056Z,sales-vic
beaumaris-vic-3192,"Beaumaris",3192,430,366,2026-05-03T06:36:43.056Z,sales-vic
beazleys-bridge-vic-3477,"Beazleys Bridge",3477,180,153,2026-05-03T06:36:43.056Z,rental-vic
beazleys-bridge-vic-3478,"Beazleys Bridge",3478,185,157,2026-05-03T06:36:43.056Z,rental-vic
bedford-road-vic-3135,"Bedford Road",3135,386,328,2026-05-03T06:36:43.056Z,rental-vic
beeac-vic-3251,"Beeac",3251,220,220,2026-05-03T06:36:43.056Z,rental-vic
beech-forest-vic-3237,"Beech Forest",3237,195,185,2026-05-03T06:36:43.056Z,rental-vic
beechworth-vic-3747,"Beechworth",3747,300,300,2026-05-03T06:36:43.056Z,sales-vic
beenak-vic-3139,"Beenak",3139,355,340,2026-05-03T06:36:43.056Z,rental-vic
belgrave-heights-vic-3160,"Belgrave Heights",3160,376,373,2026-05-03T06:36:43.056Z,sales-vic
belgrave-south-vic-3160,"Belgrave South",3160,376,450,2026-05-03T06:36:43.056Z,rental-vic
belgrave-vic-3160,"Belgrave",3160,376,401,2026-05-03T06:36:43.056Z,sales-vic
bellarine-vic-3221,"Bellarine",3221,370,350,2026-05-03T06:36:43.056Z,rental-vic
bellarine-vic-3223,"Bellarine",3223,340,350,2026-05-03T06:36:43.056Z,rental-vic
bell-bird-creek-vic-3889,"Bell Bird Creek",3889,235,200,2026-05-03T06:36:43.056Z,rental-vic
bellbird-creek-vic-3889,"Bellbird Creek",3889,235,200,2026-05-03T06:36:43.056Z,rental-vic
bellbrae-vic-3228,"Bellbrae",3228,380,380,2026-05-03T06:36:43.056Z,rental-vic
bellbridge-vic-3691,"Bellbridge",3691,340,308,2026-05-03T06:36:43.056Z,rental-vic
bellellen-vic-3380,"Bellellen",3380,210,179,2026-05-03T06:36:43.056Z,rental-vic
bellellen-vic-3381,"Bellellen",3381,250,213,2026-05-03T06:36:43.056Z,rental-vic
bellfield-vic-3081,"Bellfield",3081,351,298,2026-05-03T06:36:43.056Z,rental-vic
bellfield-vic-3381,"Bellfield",3381,250,213,2026-05-03T06:36:43.056Z,rental-vic
bell-park-vic-3215,"Bell Park",3215,340,340,2026-05-03T06:36:43.056Z,sales-vic
bell-post-hill-vic-3215,"Bell Post Hill",3215,340,350,2026-05-03T06:36:43.056Z,sales-vic
bells-beach-vic-3228,"Bells Beach",3228,525,525,2026-05-03T06:36:43.056Z,rental-vic
bellview-vic-3945,"Bellview",3945,300,255,2026-05-03T06:36:43.056Z,rental-vic
belvedere-park-vic-3198,"Belvedere Park",3198,351,298,2026-05-03T06:36:43.056Z,rental-vic
bemm-river-vic-3889,"Bemm River",3889,235,220,2026-05-03T06:36:43.056Z,rental-vic
benalla-vic-3673,"Benalla",3673,200,250,2026-05-03T06:36:43.056Z,sales-vic
benalla-west-vic-3672,"Benalla West",3672,250,213,2026-05-03T06:36:43.056Z,rental-vic
benambra-vic-3900,"Benambra",3900,150,150,2026-05-03T06:36:43.056Z,rental-vic
benarch-vic-3630,"Benarch",3630,270,230,2026-05-03T06:36:43.056Z,rental-vic
bena-vic-3946,"Bena",3946,285,285,2026-05-03T06:36:43.056Z,rental-vic
benayeo-vic-3319,"Benayeo",3319,113,96,2026-05-03T06:36:43.056Z,rental-vic
bendigo-forward-vic-3551,"Bendigo Forward",3551,360,306,2026-05-03T06:36:43.056Z,rental-vic
bendigo-south-vic-3550,"Bendigo South",3550,285,242,2026-05-03T06:36:43.056Z,rental-vic
bendoc-vic-3888,"Bendoc",3888,200,158,2026-05-03T06:36:43.056Z,rental-vic
bend-of-islands-vic-3097,"Bend Of Islands",3097,365,300,2026-05-03T06:36:43.056Z,rental-vic
bengworden-vic-3875,"Bengworden",3875,280,300,2026-05-03T06:36:43.056Z,rental-vic
